FileName,Sample,Site,Group,IndivNames,Indiv,Type,Gland,Sex,Age,Repro,Peak,RT,Purity,Amount,Area
WI2_MI4_LPLsp,WI10,Wild,Group1,MI4_LPL,Grp1_Fem2,Gland,Gsp,Female,Adult,Reproductive,P05,6.1944,84%,0.21%,16733316
WI2_MI4_LPRsp,WI12,Wild,Group1,MI4_LPR,Grp1_Fem3,Gland,Gsp,Female,Adult,Reproductive,P05,6.5791,91%,0.23%,16007832
WI3_MI4_LRCsp,WI18,Wild,Group1,MI4_LRC,Grp1_Fem4,Gland,Gsp,Female,Adult,Reproductive,P05,6.1269,81%,0.16%,5982717
WI4_T8_BlBRsp,WI24,Wild,Group2,T8_BlBR,Grp2_Male1,Gland,Gsp,Male,Adult,Reproductive,P05,6.1643,82%,0.25%,237812
WI4_T8_YBSsp,WI27,Wild,Group2,T8_YBS,Grp2_Male2,Gland,Gsp,Male,Adult,Reproductive,P05,6.1449,81%,0.16%,706225
WI4_MI4_LPGsp,WI22,Wild,Group1,MI4_LPG,Grp1_Fem1,Gland,Gsp,Female,Subadult,Non-reproductive,P07,7.589,94%,0.18%,13153380
WI2_MI4_LPLsp,WI10,Wild,Group1,MI4_LPL,Grp1_Fem2,Gland,Gsp,Female,Adult,Reproductive,P07,7.5248,93%,1.16%,92704402
WI2_MI4_LPRsp,WI12,Wild,Group1,MI4_LPR,Grp1_Fem3,Gland,Gsp,Female,Adult,Reproductive,P07,7.7878,96%,2.75%,201966788
WI4_T8_BlPYsp,WI25,Wild,Group2,T8_BlPY,Grp2_Fem1,Gland,Gsp,Female,Adult,Reproductive,P07,7.5329,95%,1.48%,73865035
WI4_T8_BlBRsp,WI24,Wild,Group2,T8_BlBR,Grp2_Male1,Gland,Gsp,Male,Adult,Reproductive,P07,7.5435,91%,0.82%,48689504
WI4_T8_YBSsp,WI27,Wild,Group2,T8_YBS,Grp2_Male2,Gland,Gsp,Male,Adult,Reproductive,P07,7.5279,97%,0.97%,846125518
WI4_MI4_LPGsp,WI22,Wild,Group1,MI4_LPG,Grp1_Fem1,Gland,Gsp,Female,Subadult,Non-reproductive,P08,7.9272,87%,0.21%,15788790
WI2_MI4_LPLsp,WI10,Wild,Group1,MI4_LPL,Grp1_Fem2,Gland,Gsp,Female,Adult,Reproductive,P08,7.9061,86%,0.11%,8821315
WI2_MI4_LPRsp,WI12,Wild,Group1,MI4_LPR,Grp1_Fem3,Gland,Gsp,Female,Adult,Reproductive,P08,8.1729,89%,0.22%,17521661
WI3_MI4_LRCsp,WI18,Wild,Group1,MI4_LRC,Grp1_Fem4,Gland,Gsp,Female,Adult,Reproductive,P08,7.912,85%,0.34%,11989693
WI4_T8_BlPYsp,WI25,Wild,Group2,T8_BlPY,Grp2_Fem1,Gland,Gsp,Female,Adult,Reproductive,P08,7.8916,89%,0.16%,8162122
WI4_T8_BlBRsp,WI24,Wild,Group2,T8_BlBR,Grp2_Male1,Gland,Gsp,Male,Adult,Reproductive,P08,7.9124,93%,0.19%,11755012
WI4_T8_YBSsp,WI27,Wild,Group2,T8_YBS,Grp2_Male2,Gland,Gsp,Male,Adult,Reproductive,P08,7.9325,89%,0.16%,13603984
WI2_MI4_LPLsp,WI10,Wild,Group1,MI4_LPL,Grp1_Fem2,Gland,Gsp,Female,Adult,Reproductive,P10,9.1945,91%,0.27%,21768683
WI4_T8_BlPYsp,WI25,Wild,Group2,T8_BlPY,Grp2_Fem1,Gland,Gsp,Female,Adult,Reproductive,P10,9.2099,91%,0.11%,3632390
WI4_T8_BlBRsp,WI24,Wild,Group2,T8_BlBR,Grp2_Male1,Gland,Gsp,Male,Adult,Reproductive,P10,9.2005,92%,0.20%,12787744
WI4_T8_YBSsp,WI27,Wild,Group2,T8_YBS,Grp2_Male2,Gland,Gsp,Male,Adult,Reproductive,P10,9.1987,92%,0.17%,11147204
WI4_MI4_LPGsp,WI22,Wild,Group1,MI4_LPG,Grp1_Fem1,Gland,Gsp,Female,Subadult,Non-reproductive,P11,9.5955,94%,0.27%,19744831
WI2_MI4_LPLsp,WI10,Wild,Group1,MI4_LPL,Grp1_Fem2,Gland,Gsp,Female,Adult,Reproductive,P11,9.5291,97%,2.47%,196909291
WI2_MI4_LPRsp,WI12,Wild,Group1,MI4_LPR,Grp1_Fem3,Gland,Gsp,Female,Adult,Reproductive,P11,9.5884,98%,0.92%,67168973
